Size, Seq, Par, Libc
100, 0.000033, 0.076089, 0.000033
100, 0.000033, 0.072800, 0.000032
100, 0.000034, 0.045313, 0.000032
100, 0.000034, 0.080370, 0.000032
100, 0.000034, 0.047783, 0.000033
1000, 0.000421, 0.269259, 0.000425
1000, 0.000425, 0.190128, 0.000419
1000, 0.000426, 0.183848, 0.000417
1000, 0.000426, 0.143291, 0.000424
1000, 0.000487, 0.153756, 0.000422
10000, 0.005759, 0.270918, 0.005833
10000, 0.006007, 0.266336, 0.005243
10000, 0.005306, 0.288931, 0.005590
10000, 0.005510, 0.307704, 0.004727
10000, 0.005147, 0.273015, 0.004691
100000, 0.059219, 0.335619, 0.054193
100000, 0.054853, 0.327992, 0.055550
100000, 0.056172, 0.304907, 0.054596
100000, 0.058054, 0.326130, 0.055614
100000, 0.061662, 0.330556, 0.034854
1000000, 0.463780, 0.430837, 0.740818
1000000, 0.725637, 0.445376, 0.515104
1000000, 0.360682, 0.354565, 0.309533
1000000, 0.343442, 0.413373, 0.387320
1000000, 0.366760, 0.436782, 0.408354
