Size, Type, Time
100, "Sequential", 0.000005
100, "Parallel", 0.021692
100, "Built-in", 0.000007
400000, "Sequential", 0.037642
400000, "Parallel", 0.110160
400000, "Built-in", 0.052024
400000, "Sequential", 0.037659
400000, "Parallel", 0.100184
400000, "Built-in", 0.051387
10000, "Sequential", 0.000707
10000, "Parallel", 0.050705
10000, "Built-in", 0.000959
600000, "Sequential", 0.058383
600000, "Parallel", 0.117393
600000, "Built-in", 0.080824
1000, "Sequential", 0.000057
1000, "Parallel", 0.034812
1000, "Built-in", 0.000082
1000000, "Sequential", 0.099313
1000000, "Parallel", 0.182447
1000000, "Built-in", 0.137958
200000, "Sequential", 0.017979
200000, "Parallel", 0.077466
200000, "Built-in", 0.024373
100, "Sequential", 0.000005
100, "Parallel", 0.011816
100, "Built-in", 0.000007
10000, "Sequential", 0.000705
10000, "Parallel", 0.068327
10000, "Built-in", 0.000948
100000, "Sequential", 0.008770
100000, "Parallel", 0.075663
100000, "Built-in", 0.011407
1000000, "Sequential", 0.100149
1000000, "Parallel", 0.175778
1000000, "Built-in", 0.137281
200000, "Sequential", 0.017919
200000, "Parallel", 0.087982
200000, "Built-in", 0.024627
1000, "Sequential", 0.000059
1000, "Parallel", 0.037764
1000, "Built-in", 0.000093
600000, "Sequential", 0.057647
600000, "Parallel", 0.121607
600000, "Built-in", 0.079786
200000, "Sequential", 0.017988
200000, "Parallel", 0.086384
200000, "Built-in", 0.024799
1000, "Sequential", 0.000058
1000, "Parallel", 0.039551
1000, "Built-in", 0.000092
1000, "Sequential", 0.000058
1000, "Parallel", 0.043083
1000, "Built-in", 0.000097
400000, "Sequential", 0.037271
400000, "Parallel", 0.093933
400000, "Built-in", 0.051253
800000, "Sequential", 0.078822
800000, "Parallel", 0.139252
800000, "Built-in", 0.109766
200000, "Sequential", 0.018507
200000, "Parallel", 0.081034
200000, "Built-in", 0.024869
100000, "Sequential", 0.008364
100000, "Parallel", 0.081874
100000, "Built-in", 0.011419
600000, "Sequential", 0.059018
600000, "Parallel", 0.125571
600000, "Built-in", 0.080009
1000, "Sequential", 0.000059
1000, "Parallel", 0.044522
1000, "Built-in", 0.000086
100000, "Sequential", 0.008596
100000, "Parallel", 0.074987
100000, "Built-in", 0.011555
100, "Sequential", 0.000005
100, "Parallel", 0.013661
100, "Built-in", 0.000008
10000, "Sequential", 0.000695
10000, "Parallel", 0.080716
10000, "Built-in", 0.000936
600000, "Sequential", 0.058153
600000, "Parallel", 0.121276
600000, "Built-in", 0.081016
800000, "Sequential", 0.077845
800000, "Parallel", 0.145833
800000, "Built-in", 0.108565
100000, "Sequential", 0.008527
100000, "Parallel", 0.095175
100000, "Built-in", 0.011672
100000, "Sequential", 0.008742
100000, "Parallel", 0.082042
100000, "Built-in", 0.011476
1000000, "Sequential", 0.100873
1000000, "Parallel", 0.170864
1000000, "Built-in", 0.138577
10000, "Sequential", 0.000725
10000, "Parallel", 0.063479
10000, "Built-in", 0.001083
400000, "Sequential", 0.037482
400000, "Parallel", 0.089653
400000, "Built-in", 0.052077
200000, "Sequential", 0.018021
200000, "Parallel", 0.105382
200000, "Built-in", 0.025012
800000, "Sequential", 0.078451
800000, "Parallel", 0.140997
800000, "Built-in", 0.108472
600000, "Sequential", 0.057829
600000, "Parallel", 0.144311
600000, "Built-in", 0.080363
10000, "Sequential", 0.000703
10000, "Parallel", 0.063503
10000, "Built-in", 0.000964
100, "Sequential", 0.000005
100, "Parallel", 0.012888
100, "Built-in", 0.000008
10000, "Sequential", 0.000771
10000, "Parallel", 0.063494
10000, "Built-in", 0.000949
600000, "Sequential", 0.057771
600000, "Parallel", 0.108565
600000, "Built-in", 0.080620
10000, "Sequential", 0.000725
10000, "Parallel", 0.066647
10000, "Built-in", 0.000958
400000, "Sequential", 0.037495
400000, "Parallel", 0.090503
400000, "Built-in", 0.052418
1000, "Sequential", 0.000057
1000, "Parallel", 0.042061
1000, "Built-in", 0.000091
1000, "Sequential", 0.000058
1000, "Parallel", 0.031452
1000, "Built-in", 0.000087
400000, "Sequential", 0.037292
400000, "Parallel", 0.082499
400000, "Built-in", 0.053191
100000, "Sequential", 0.008708
100000, "Parallel", 0.108142
100000, "Built-in", 0.012581
200000, "Sequential", 0.018713
200000, "Parallel", 0.081304
200000, "Built-in", 0.026072
600000, "Sequential", 0.061985
600000, "Parallel", 0.117072
600000, "Built-in", 0.084998
400000, "Sequential", 0.039094
400000, "Parallel", 0.107951
400000, "Built-in", 0.055983
400000, "Sequential", 0.038884
400000, "Parallel", 0.106330
400000, "Built-in", 0.052496
100, "Sequential", 0.000005
100, "Parallel", 0.011620
100, "Built-in", 0.000008
100000, "Sequential", 0.008554
100000, "Parallel", 0.073300
100000, "Built-in", 0.011466
200000, "Sequential", 0.019014
200000, "Parallel", 0.091693
200000, "Built-in", 0.024516
100000, "Sequential", 0.008382
100000, "Parallel", 0.082268
100000, "Built-in", 0.011422
1000000, "Sequential", 0.100473
1000000, "Parallel", 0.173259
1000000, "Built-in", 0.137659
400000, "Sequential", 0.042866
400000, "Parallel", 0.090002
400000, "Built-in", 0.052136
1000, "Sequential", 0.000058
1000, "Parallel", 0.040653
1000, "Built-in", 0.000085
10000, "Sequential", 0.000714
10000, "Parallel", 0.055958
10000, "Built-in", 0.000982
1000000, "Sequential", 0.100546
1000000, "Parallel", 0.180075
1000000, "Built-in", 0.138538
1000000, "Sequential", 0.100783
1000000, "Parallel", 0.173205
1000000, "Built-in", 0.139607
600000, "Sequential", 0.058401
600000, "Parallel", 0.132074
600000, "Built-in", 0.079966
1000000, "Sequential", 0.099328
1000000, "Parallel", 0.191634
1000000, "Built-in", 0.137279
800000, "Sequential", 0.077949
800000, "Parallel", 0.167332
800000, "Built-in", 0.108501
100000, "Sequential", 0.008533
100000, "Parallel", 0.088244
100000, "Built-in", 0.011451
600000, "Sequential", 0.058135
600000, "Parallel", 0.112990
600000, "Built-in", 0.079602
800000, "Sequential", 0.078235
800000, "Parallel", 0.146310
800000, "Built-in", 0.109075
100000, "Sequential", 0.008709
100000, "Parallel", 0.093278
100000, "Built-in", 0.011460
100, "Sequential", 0.000005
100, "Parallel", 0.014483
100, "Built-in", 0.000008
400000, "Sequential", 0.037795
400000, "Parallel", 0.105479
400000, "Built-in", 0.051459
1000000, "Sequential", 0.100504
1000000, "Parallel", 0.173424
1000000, "Built-in", 0.137957
1000000, "Sequential", 0.099833
1000000, "Parallel", 0.172076
1000000, "Built-in", 0.138303
100, "Sequential", 0.000005
100, "Parallel", 0.013159
100, "Built-in", 0.000007
1000000, "Sequential", 0.098434
1000000, "Parallel", 0.173634
1000000, "Built-in", 0.137870
100000, "Sequential", 0.008432
100000, "Parallel", 0.071189
100000, "Built-in", 0.011781
10000, "Sequential", 0.000704
10000, "Parallel", 0.070109
10000, "Built-in", 0.000973
100, "Sequential", 0.000005
100, "Parallel", 0.012097
100, "Built-in", 0.000008
800000, "Sequential", 0.079265
800000, "Parallel", 0.135904
800000, "Built-in", 0.108493
1000000, "Sequential", 0.099150
1000000, "Parallel", 0.180935
1000000, "Built-in", 0.138424
800000, "Sequential", 0.078802
800000, "Parallel", 0.131071
800000, "Built-in", 0.108701
600000, "Sequential", 0.058611
600000, "Parallel", 0.125969
600000, "Built-in", 0.079676
10000, "Sequential", 0.000737
10000, "Parallel", 0.077598
10000, "Built-in", 0.000954
1000000, "Sequential", 0.100561
1000000, "Parallel", 0.182874
1000000, "Built-in", 0.137530
200000, "Sequential", 0.018401
200000, "Parallel", 0.088886
200000, "Built-in", 0.025293
1000, "Sequential", 0.000058
1000, "Parallel", 0.032051
1000, "Built-in", 0.000092
800000, "Sequential", 0.079620
800000, "Parallel", 0.161554
800000, "Built-in", 0.108371
10000, "Sequential", 0.000702
10000, "Parallel", 0.067570
10000, "Built-in", 0.000949
600000, "Sequential", 0.057882
600000, "Parallel", 0.113525
600000, "Built-in", 0.080518
100, "Sequential", 0.000005
100, "Parallel", 0.015352
100, "Built-in", 0.000008
800000, "Sequential", 0.078508
800000, "Parallel", 0.152047
800000, "Built-in", 0.108876
800000, "Sequential", 0.079176
800000, "Parallel", 0.141986
800000, "Built-in", 0.108932
100000, "Sequential", 0.008615
100000, "Parallel", 0.067256
100000, "Built-in", 0.011420
200000, "Sequential", 0.018049
200000, "Parallel", 0.086188
200000, "Built-in", 0.024497
200000, "Sequential", 0.017766
200000, "Parallel", 0.084260
200000, "Built-in", 0.024496
100, "Sequential", 0.000005
100, "Parallel", 0.012926
100, "Built-in", 0.000007
1000, "Sequential", 0.000059
1000, "Parallel", 0.034788
1000, "Built-in", 0.000089
10000, "Sequential", 0.000719
10000, "Parallel", 0.071968
10000, "Built-in", 0.000948
10000, "Sequential", 0.000707
10000, "Parallel", 0.072881
10000, "Built-in", 0.000952
200000, "Sequential", 0.018003
200000, "Parallel", 0.106452
200000, "Built-in", 0.024696
10000, "Sequential", 0.000708
10000, "Parallel", 0.070836
10000, "Built-in", 0.000947
400000, "Sequential", 0.037772
400000, "Parallel", 0.103483
400000, "Built-in", 0.052115
800000, "Sequential", 0.077883
800000, "Parallel", 0.146061
800000, "Built-in", 0.108507
600000, "Sequential", 0.058190
600000, "Parallel", 0.118273
600000, "Built-in", 0.080430
400000, "Sequential", 0.036993
400000, "Parallel", 0.087453
400000, "Built-in", 0.051639
1000, "Sequential", 0.000060
1000, "Parallel", 0.032365
1000, "Built-in", 0.000087
400000, "Sequential", 0.037023
400000, "Parallel", 0.094267
400000, "Built-in", 0.051866
400000, "Sequential", 0.037396
400000, "Parallel", 0.089261
400000, "Built-in", 0.052201
100, "Sequential", 0.000005
100, "Parallel", 0.011630
100, "Built-in", 0.000007
100, "Sequential", 0.000005
100, "Parallel", 0.016482
100, "Built-in", 0.000007
100000, "Sequential", 0.008731
100000, "Parallel", 0.079117
100000, "Built-in", 0.011333
100000, "Sequential", 0.008661
100000, "Parallel", 0.089868
100000, "Built-in", 0.011609
1000, "Sequential", 0.000057
1000, "Parallel", 0.035975
1000, "Built-in", 0.000090
600000, "Sequential", 0.058797
600000, "Parallel", 0.122535
600000, "Built-in", 0.081023
1000, "Sequential", 0.000058
1000, "Parallel", 0.036929
1000, "Built-in", 0.000088
200000, "Sequential", 0.017663
200000, "Parallel", 0.091160
200000, "Built-in", 0.024467
1000000, "Sequential", 0.100530
1000000, "Parallel", 0.174773
1000000, "Built-in", 0.139257
800000, "Sequential", 0.078740
800000, "Parallel", 0.142592
800000, "Built-in", 0.108673
200000, "Sequential", 0.018200
200000, "Parallel", 0.085138
200000, "Built-in", 0.024289
100000, "Sequential", 0.008445
100000, "Parallel", 0.081244
100000, "Built-in", 0.011447
200000, "Sequential", 0.018415
200000, "Parallel", 0.076389
200000, "Built-in", 0.024346
400000, "Sequential", 0.037632
400000, "Parallel", 0.093359
400000, "Built-in", 0.051907
600000, "Sequential", 0.057679
600000, "Parallel", 0.114954
600000, "Built-in", 0.079925
1000000, "Sequential", 0.100307
1000000, "Parallel", 0.181815
1000000, "Built-in", 0.137564
600000, "Sequential", 0.058103
600000, "Parallel", 0.122564
600000, "Built-in", 0.079984
10000, "Sequential", 0.000724
10000, "Parallel", 0.073974
10000, "Built-in", 0.001034
400000, "Sequential", 0.037988
400000, "Parallel", 0.100622
400000, "Built-in", 0.051505
600000, "Sequential", 0.057809
600000, "Parallel", 0.108628
600000, "Built-in", 0.080773
1000, "Sequential", 0.000060
1000, "Parallel", 0.033804
1000, "Built-in", 0.000083
800000, "Sequential", 0.078757
800000, "Parallel", 0.148221
800000, "Built-in", 0.108715
1000000, "Sequential", 0.100054
1000000, "Parallel", 0.168303
1000000, "Built-in", 0.137204
1000000, "Sequential", 0.101167
1000000, "Parallel", 0.187935
1000000, "Built-in", 0.138414
200000, "Sequential", 0.018203
200000, "Parallel", 0.076871
200000, "Built-in", 0.024365
100, "Sequential", 0.000005
100, "Parallel", 0.017624
100, "Built-in", 0.000007
1000, "Sequential", 0.000090
1000, "Parallel", 0.045452
1000, "Built-in", 0.000086
200000, "Sequential", 0.017956
200000, "Parallel", 0.103959
200000, "Built-in", 0.024543
600000, "Sequential", 0.058343
600000, "Parallel", 0.105526
600000, "Built-in", 0.079994
800000, "Sequential", 0.078549
800000, "Parallel", 0.140952
800000, "Built-in", 0.108962
400000, "Sequential", 0.037594
400000, "Parallel", 0.101182
400000, "Built-in", 0.052115
800000, "Sequential", 0.079285
800000, "Parallel", 0.149489
800000, "Built-in", 0.108510
10000, "Sequential", 0.000718
10000, "Parallel", 0.071796
10000, "Built-in", 0.000941
100, "Sequential", 0.000005
100, "Parallel", 0.014435
100, "Built-in", 0.000007
1000000, "Sequential", 0.099681
1000000, "Parallel", 0.185416
1000000, "Built-in", 0.137552
100, "Sequential", 0.000005
100, "Parallel", 0.014342
100, "Built-in", 0.000007
800000, "Sequential", 0.078481
800000, "Parallel", 0.155105
800000, "Built-in", 0.108455
100000, "Sequential", 0.008559
100000, "Parallel", 0.089190
100000, "Built-in", 0.011636
1000000, "Sequential", 0.099091
1000000, "Parallel", 0.195385
1000000, "Built-in", 0.137677
1000, "Sequential", 0.000058
1000, "Parallel", 0.042095
1000, "Built-in", 0.000088
100000, "Sequential", 0.008521
100000, "Parallel", 0.074697
100000, "Built-in", 0.011540
100, "Sequential", 0.000005
100, "Parallel", 0.013443
100, "Built-in", 0.000007
10000, "Sequential", 0.000699
10000, "Parallel", 0.072839
10000, "Built-in", 0.000963
1000, "Sequential", 0.000058
1000, "Parallel", 0.037203
1000, "Built-in", 0.000089
200000, "Sequential", 0.017894
200000, "Parallel", 0.101567
200000, "Built-in", 0.024426
400000, "Sequential", 0.037985
