Size, Type, Time
400000, "Sequential", 0.038123
400000, "Parallel", 0.101947
400000, "Built-in", 0.052887
800000, "Sequential", 0.080121
800000, "Parallel", 0.139073
800000, "Built-in", 0.110865
600000, "Sequential", 0.058485
600000, "Parallel", 0.121104
600000, "Built-in", 0.082018
300000, "Sequential", 0.027831
300000, "Parallel", 0.095104
300000, "Built-in", 0.039254
100000, "Sequential", 0.008737
100000, "Parallel", 0.079932
100000, "Built-in", 0.011791
100000, "Sequential", 0.008648
100000, "Parallel", 0.085529
100000, "Built-in", 0.012046
600000, "Sequential", 0.058610
600000, "Parallel", 0.125678
600000, "Built-in", 0.080039
200000, "Sequential", 0.017915
200000, "Parallel", 0.105926
200000, "Built-in", 0.025515
200000, "Sequential", 0.018207
200000, "Parallel", 0.089262
200000, "Built-in", 0.025588
400000, "Sequential", 0.038928
400000, "Parallel", 0.095227
400000, "Built-in", 0.052528
200000, "Sequential", 0.017956
200000, "Parallel", 0.109213
200000, "Built-in", 0.025096
100000, "Sequential", 0.008679
100000, "Parallel", 0.087498
100000, "Built-in", 0.011658
300000, "Sequential", 0.027940
300000, "Parallel", 0.102756
300000, "Built-in", 0.039082
700000, "Sequential", 0.068899
700000, "Parallel", 0.131241
700000, "Built-in", 0.095323
300000, "Sequential", 0.027987
300000, "Parallel", 0.114697
300000, "Built-in", 0.038676
900000, "Sequential", 0.090609
900000, "Parallel", 0.152613
900000, "Built-in", 0.124023
100000, "Sequential", 0.008793
100000, "Parallel", 0.093546
100000, "Built-in", 0.011733
300000, "Sequential", 0.028274
300000, "Parallel", 0.102204
300000, "Built-in", 0.039284
600000, "Sequential", 0.057888
600000, "Parallel", 0.120450
600000, "Built-in", 0.080872
600000, "Sequential", 0.058780
600000, "Parallel", 0.125151
600000, "Built-in", 0.081218
900000, "Sequential", 0.090515
900000, "Parallel", 0.161882
900000, "Built-in", 0.123776
700000, "Sequential", 0.071463
700000, "Parallel", 0.127121
700000, "Built-in", 0.095287
100000, "Sequential", 0.008617
100000, "Parallel", 0.095519
100000, "Built-in", 0.011926
900000, "Sequential", 0.090616
900000, "Parallel", 0.157666
900000, "Built-in", 0.124897
500000, "Sequential", 0.048802
500000, "Parallel", 0.108337
500000, "Built-in", 0.066810
800000, "Sequential", 0.080224
800000, "Parallel", 0.149312
800000, "Built-in", 0.109305
200000, "Sequential", 0.018128
200000, "Parallel", 0.095347
200000, "Built-in", 0.025231
100000, "Sequential", 0.008544
100000, "Parallel", 0.081902
100000, "Built-in", 0.011887
700000, "Sequential", 0.069147
700000, "Parallel", 0.134797
700000, "Built-in", 0.095097
600000, "Sequential", 0.058634
600000, "Parallel", 0.110103
600000, "Built-in", 0.081641
700000, "Sequential", 0.069548
700000, "Parallel", 0.131613
700000, "Built-in", 0.096043
400000, "Sequential", 0.037629
400000, "Parallel", 0.095535
400000, "Built-in", 0.052190
500000, "Sequential", 0.048176
500000, "Parallel", 0.112313
500000, "Built-in", 0.066538
100000, "Sequential", 0.008446
100000, "Parallel", 0.099544
100000, "Built-in", 0.011805
200000, "Sequential", 0.018068
200000, "Parallel", 0.100804
200000, "Built-in", 0.025047
700000, "Sequential", 0.069427
700000, "Parallel", 0.128040
700000, "Built-in", 0.096034
700000, "Sequential", 0.068803
700000, "Parallel", 0.125938
700000, "Built-in", 0.096303
800000, "Sequential", 0.080720
800000, "Parallel", 0.144172
800000, "Built-in", 0.108884
900000, "Sequential", 0.092011
900000, "Parallel", 0.155321
900000, "Built-in", 0.123967
1000000, "Sequential", 0.101632
1000000, "Parallel", 0.182137
1000000, "Built-in", 0.147867
300000, "Sequential", 0.028130
300000, "Parallel", 0.105552
300000, "Built-in", 0.039216
200000, "Sequential", 0.018226
200000, "Parallel", 0.102421
200000, "Built-in", 0.025021
900000, "Sequential", 0.089870
900000, "Parallel", 0.155421
900000, "Built-in", 0.122688
500000, "Sequential", 0.048438
500000, "Parallel", 0.125806
500000, "Built-in", 0.066708
700000, "Sequential", 0.069105
700000, "Parallel", 0.147316
700000, "Built-in", 0.095581
700000, "Sequential", 0.069575
700000, "Parallel", 0.134541
700000, "Built-in", 0.095446
400000, "Sequential", 0.038657
400000, "Parallel", 0.117298
400000, "Built-in", 0.053196
300000, "Sequential", 0.027905
300000, "Parallel", 0.095179
300000, "Built-in", 0.039194
200000, "Sequential", 0.017881
200000, "Parallel", 0.099680
200000, "Built-in", 0.025134
200000, "Sequential", 0.018058
200000, "Parallel", 0.097569
200000, "Built-in", 0.025481
500000, "Sequential", 0.048918
500000, "Parallel", 0.101797
500000, "Built-in", 0.066971
100000, "Sequential", 0.008514
100000, "Parallel", 0.090400
100000, "Built-in", 0.011867
900000, "Sequential", 0.091064
900000, "Parallel", 0.162402
900000, "Built-in", 0.125012
200000, "Sequential", 0.018161
200000, "Parallel", 0.100973
200000, "Built-in", 0.025380
500000, "Sequential", 0.048137
500000, "Parallel", 0.111977
500000, "Built-in", 0.067215
100000, "Sequential", 0.008553
100000, "Parallel", 0.096687
100000, "Built-in", 0.011751
800000, "Sequential", 0.079660
800000, "Parallel", 0.160585
800000, "Built-in", 0.109837
300000, "Sequential", 0.027977
300000, "Parallel", 0.100764
300000, "Built-in", 0.039200
300000, "Sequential", 0.028219
300000, "Parallel", 0.095214
300000, "Built-in", 0.038607
600000, "Sequential", 0.058725
600000, "Parallel", 0.118819
600000, "Built-in", 0.081216
200000, "Sequential", 0.018368
200000, "Parallel", 0.098341
200000, "Built-in", 0.024996
600000, "Sequential", 0.058776
600000, "Parallel", 0.112677
600000, "Built-in", 0.081596
1000000, "Sequential", 0.102060
1000000, "Parallel", 0.193233
1000000, "Built-in", 0.140304
200000, "Sequential", 0.018418
200000, "Parallel", 0.101018
200000, "Built-in", 0.025075
100000, "Sequential", 0.008822
100000, "Parallel", 0.102623
100000, "Built-in", 0.011816
800000, "Sequential", 0.079554
800000, "Parallel", 0.161313
800000, "Built-in", 0.109848
300000, "Sequential", 0.028363
300000, "Parallel", 0.159988
300000, "Built-in", 0.038826
800000, "Sequential", 0.080714
800000, "Parallel", 0.154129
800000, "Built-in", 0.109188
500000, "Sequential", 0.048367
500000, "Parallel", 0.099297
500000, "Built-in", 0.066193
500000, "Sequential", 0.048300
500000, "Parallel", 0.105926
500000, "Built-in", 0.066731
600000, "Sequential", 0.058864
600000, "Parallel", 0.142943
600000, "Built-in", 0.081189
400000, "Sequential", 0.038704
400000, "Parallel", 0.097724
400000, "Built-in", 0.052093
700000, "Sequential", 0.071467
700000, "Parallel", 0.136198
700000, "Built-in", 0.094792
900000, "Sequential", 0.090714
900000, "Parallel", 0.170249
900000, "Built-in", 0.123995
900000, "Sequential", 0.090382
900000, "Parallel", 0.157147
900000, "Built-in", 0.130447
500000, "Sequential", 0.048421
500000, "Parallel", 0.114801
500000, "Built-in", 0.066693
700000, "Sequential", 0.068843
700000, "Parallel", 0.126619
700000, "Built-in", 0.095649
100000, "Sequential", 0.008753
100000, "Parallel", 0.086698
100000, "Built-in", 0.011806
900000, "Sequential", 0.090778
900000, "Parallel", 0.150018
900000, "Built-in", 0.125837
500000, "Sequential", 0.048360
500000, "Parallel", 0.104999
500000, "Built-in", 0.066825
900000, "Sequential", 0.090861
900000, "Parallel", 0.152941
900000, "Built-in", 0.125531
800000, "Sequential", 0.080735
800000, "Parallel", 0.156334
800000, "Built-in", 0.110063
300000, "Sequential", 0.028008
300000, "Parallel", 0.100326
300000, "Built-in", 0.039091
200000, "Sequential", 0.018017
200000, "Parallel", 0.107095
200000, "Built-in", 0.025301
300000, "Sequential", 0.028935
300000, "Parallel", 0.102540
300000, "Built-in", 0.039159
600000, "Sequential", 0.059497
600000, "Parallel", 0.129086
600000, "Built-in", 0.085985
400000, "Sequential", 0.037903
400000, "Parallel", 0.098913
400000, "Built-in", 0.053310
600000, "Sequential", 0.058699
600000, "Parallel", 0.111742
600000, "Built-in", 0.081059
200000, "Sequential", 0.018075
200000, "Parallel", 0.103595
200000, "Built-in", 0.025277
100000, "Sequential", 0.008662
100000, "Parallel", 0.073030
100000, "Built-in", 0.011738
100000, "Sequential", 0.008878
100000, "Parallel", 0.100846
100000, "Built-in", 0.012069
400000, "Sequential", 0.037756
400000, "Parallel", 0.096718
400000, "Built-in", 0.052899
900000, "Sequential", 0.090250
900000, "Parallel", 0.165440
900000, "Built-in", 0.125043
100000, "Sequential", 0.008490
100000, "Parallel", 0.078788
100000, "Built-in", 0.011856
1000000, "Sequential", 0.100636
1000000, "Parallel", 0.177600
1000000, "Built-in", 0.153071
600000, "Sequential", 0.058097
600000, "Parallel", 0.127772
600000, "Built-in", 0.081479
