Size, Type, Time
100,Sequential,9E-06
100,Parallel,0.008973
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005491
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005753
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005282
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005031
100,Built-in,1.2E-05
100,Sequential,1E-05
100,Parallel,0.004704
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.004779
100,Built-in,1.1E-05
100,Sequential,1.1E-05
100,Parallel,0.006426
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005522
100,Built-in,1.1E-05
100,Sequential,1.1E-05
100,Parallel,0.005951
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.004829
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.006115
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.004955
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005378
100,Built-in,1.1E-05
100,Sequential,1E-05
100,Parallel,0.007249
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005704
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005496
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.0064
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.004786
100,Built-in,1.2E-05
100,Sequential,1.1E-05
100,Parallel,0.005081
100,Built-in,1.1E-05
1000,Sequential,0.000129
1000,Parallel,0.014388
1000,Built-in,7.1E-05
1000,Sequential,5.1E-05
1000,Parallel,0.015675
1000,Built-in,0.000165
1000,Sequential,0.000127
1000,Parallel,0.018035
1000,Built-in,0.000162
1000,Sequential,0.000128
1000,Parallel,0.013145
1000,Built-in,6.7E-05
1000,Sequential,5E-05
1000,Parallel,0.012889
1000,Built-in,0.000142
1000,Sequential,0.000115
1000,Parallel,0.016704
1000,Built-in,0.000161
1000,Sequential,0.000127
1000,Parallel,0.014062
1000,Built-in,0.00014
1000,Sequential,0.000115
1000,Parallel,0.015731
1000,Built-in,0.000164
1000,Sequential,0.000128
1000,Parallel,0.016046
1000,Built-in,0.00016
1000,Sequential,0.000129
1000,Parallel,0.015093
1000,Built-in,0.000141
1000,Sequential,0.000113
1000,Parallel,0.015221
1000,Built-in,7E-05
1000,Sequential,5.1E-05
1000,Parallel,0.017177
1000,Built-in,0.000143
1000,Sequential,0.000128
1000,Parallel,0.014187
1000,Built-in,7.1E-05
1000,Sequential,5.1E-05
1000,Parallel,0.017057
1000,Built-in,0.000166
1000,Sequential,0.000114
1000,Parallel,0.015947
1000,Built-in,6.8E-05
1000,Sequential,5.1E-05
1000,Parallel,0.014073
1000,Built-in,0.000141
1000,Sequential,5E-05
1000,Parallel,0.012541
1000,Built-in,0.000154
1000,Sequential,0.00013
1000,Parallel,0.014265
1000,Built-in,7E-05
1000,Sequential,5.1E-05
1000,Parallel,0.018173
1000,Built-in,0.000415
1000,Sequential,0.000128
1000,Parallel,0.01544
