Size, Type, Time
70000000, "Sequential", 7.919194
70000000, "Parallel", 10.365549
70000000, "Built-in", 10.425353
30000000, "Sequential", 3.236840
30000000, "Parallel", 4.370953
30000000, "Built-in", 4.255643
100000000, "Sequential", 11.485948
100000000, "Parallel", 14.209307
100000000, "Built-in", 15.147530
20000000, "Sequential", 2.115894
20000000, "Parallel", 2.715146
20000000, "Built-in", 2.770669
100000000, "Sequential", 11.486581
100000000, "Parallel", 14.327401
100000000, "Built-in", 15.045135
30000000, "Sequential", 3.258185
30000000, "Parallel", 3.913228
30000000, "Built-in", 4.275027
100000000, "Sequential", 11.510784
100000000, "Parallel", 14.418067
100000000, "Built-in", 15.088097
80000000, "Sequential", 9.139821
80000000, "Parallel", 11.652209
80000000, "Built-in", 12.006017
50000000, "Sequential", 5.525660
50000000, "Parallel", 7.032189
50000000, "Built-in", 7.253990
90000000, "Sequential", 10.306492
90000000, "Parallel", 13.354242
90000000, "Built-in", 13.628306
10000000, "Sequential", 1.024831
10000000, "Parallel", 1.362392
10000000, "Built-in", 1.323050
80000000, "Sequential", 9.171705
80000000, "Parallel", 11.291029
80000000, "Built-in", 12.033992
100000000, "Sequential", 11.600343
100000000, "Parallel", 15.056612
100000000, "Built-in", 15.081571
70000000, "Sequential", 7.855509
70000000, "Parallel", 10.144982
70000000, "Built-in", 10.512786
10000000, "Sequential", 1.011325
10000000, "Parallel", 1.530481
10000000, "Built-in", 1.336161
80000000, "Sequential", 9.157605
80000000, "Parallel", 11.678862
80000000, "Built-in", 12.086992
80000000, "Sequential", 9.164609
80000000, "Parallel", 11.922010
80000000, "Built-in", 11.982053
20000000, "Sequential", 2.108533
20000000, "Parallel", 2.944312
20000000, "Built-in", 2.770846
70000000, "Sequential", 7.950112
70000000, "Parallel", 10.409579
70000000, "Built-in", 10.485422
70000000, "Sequential", 7.885241
70000000, "Parallel", 10.236823
70000000, "Built-in", 10.468955
60000000, "Sequential", 6.744561
60000000, "Parallel", 8.978956
60000000, "Built-in", 8.889548
70000000, "Sequential", 7.914609
70000000, "Parallel", 10.169773
70000000, "Built-in", 10.460093
80000000, "Sequential", 9.041437
80000000, "Parallel", 11.783234
80000000, "Built-in", 11.933934
10000000, "Sequential", 1.034565
10000000, "Parallel", 1.531812
10000000, "Built-in", 1.330869
40000000, "Sequential", 4.427998
40000000, "Parallel", 5.842944
40000000, "Built-in", 5.781785
20000000, "Sequential", 2.160987
20000000, "Parallel", 3.081970
20000000, "Built-in", 2.786668
60000000, "Sequential", 6.673612
60000000, "Parallel", 8.714151
