Size, Type, Time
600, "Sequential", 0.000089
600, "Parallel", 0.012590
600, "Built-in", 0.000082
400, "Sequential", 0.000032
400, "Parallel", 0.011878
400, "Built-in", 0.000056
600, "Sequential", 0.000049
600, "Parallel", 0.013731
600, "Built-in", 0.000081
700, "Sequential", 0.000058
700, "Parallel", 0.014998
700, "Built-in", 0.000090
500, "Sequential", 0.000041
500, "Parallel", 0.009813
500, "Built-in", 0.000064
900, "Sequential", 0.000077
900, "Parallel", 0.018471
900, "Built-in", 0.000119
300, "Sequential", 0.000023
300, "Parallel", 0.014351
300, "Built-in", 0.000049
400, "Sequential", 0.000032
400, "Parallel", 0.014006
400, "Built-in", 0.000056
900, "Sequential", 0.000085
900, "Parallel", 0.015063
900, "Built-in", 0.000104
800, "Sequential", 0.000068
800, "Parallel", 0.017020
800, "Built-in", 0.000095
200, "Sequential", 0.000015
200, "Parallel", 0.007770
200, "Built-in", 0.000036
600, "Sequential", 0.000049
600, "Parallel", 0.014584
600, "Built-in", 0.000078
200, "Sequential", 0.000029
200, "Parallel", 0.006833
200, "Built-in", 0.000035
900, "Sequential", 0.000077
900, "Parallel", 0.017097
900, "Built-in", 0.000115
900, "Sequential", 0.000162
900, "Parallel", 0.016689
900, "Built-in", 0.000108
400, "Sequential", 0.000032
400, "Parallel", 0.010483
400, "Built-in", 0.000055
400, "Sequential", 0.000032
400, "Parallel", 0.015493
400, "Built-in", 0.000049
600, "Sequential", 0.000098
600, "Parallel", 0.014030
600, "Built-in", 0.000074
900, "Sequential", 0.000154
900, "Parallel", 0.019910
900, "Built-in", 0.000118
100, "Sequential", 0.000014
100, "Parallel", 0.005467
100, "Built-in", 0.000009
400, "Sequential", 0.000032
400, "Parallel", 0.011085
400, "Built-in", 0.000049
500, "Sequential", 0.000040
500, "Parallel", 0.008687
500, "Built-in", 0.000068
100, "Sequential", 0.000014
100, "Parallel", 0.004496
100, "Built-in", 0.000008
600, "Sequential", 0.000048
600, "Parallel", 0.018476
600, "Built-in", 0.000069
200, "Sequential", 0.000030
200, "Parallel", 0.011177
200, "Built-in", 0.000029
300, "Sequential", 0.000022
300, "Parallel", 0.012476
300, "Built-in", 0.000059
500, "Sequential", 0.000040
500, "Parallel", 0.010533
500, "Built-in", 0.000072
100, "Sequential", 0.000007
100, "Parallel", 0.003270
100, "Built-in", 0.000008
800, "Sequential", 0.000069
800, "Parallel", 0.015691
800, "Built-in", 0.000094
300, "Sequential", 0.000023
300, "Parallel", 0.009763
300, "Built-in", 0.000054
1000, "Sequential", 0.000085
1000, "Parallel", 0.010751
1000, "Built-in", 0.000121
300, "Sequential", 0.000023
300, "Parallel", 0.011941
300, "Built-in", 0.000045
800, "Sequential", 0.000120
800, "Parallel", 0.016355
800, "Built-in", 0.000100
800, "Sequential", 0.000068
800, "Parallel", 0.018509
800, "Built-in", 0.000101
200, "Sequential", 0.000015
200, "Parallel", 0.012329
200, "Built-in", 0.000049
200, "Sequential", 0.000015
200, "Parallel", 0.013158
200, "Built-in", 0.000030
900, "Sequential", 0.000075
900, "Parallel", 0.025273
900, "Built-in", 0.000107
800, "Sequential", 0.000086
800, "Parallel", 0.017402
800, "Built-in", 0.000097
800, "Sequential", 0.000068
800, "Parallel", 0.025637
800, "Built-in", 0.000089
200, "Sequential", 0.000015
200, "Parallel", 0.009451
200, "Built-in", 0.000031
500, "Sequential", 0.000040
500, "Parallel", 0.013351
500, "Built-in", 0.000063
900, "Sequential", 0.000077
900, "Parallel", 0.017534
900, "Built-in", 0.000108
300, "Sequential", 0.000023
300, "Parallel", 0.011469
300, "Built-in", 0.000039
900, "Sequential", 0.000077
900, "Parallel", 0.016930
900, "Built-in", 0.000108
600, "Sequential", 0.000049
600, "Parallel", 0.018809
600, "Built-in", 0.000078
700, "Sequential", 0.000060
700, "Parallel", 0.017250
700, "Built-in", 0.000085
700, "Sequential", 0.000059
700, "Parallel", 0.016693
700, "Built-in", 0.000084
800, "Sequential", 0.000068
800, "Parallel", 0.015777
800, "Built-in", 0.000094
100, "Sequential", 0.000015
100, "Parallel", 0.004633
