Size, Type, Time
100000000, "Sequential", 11.554318
100000000, "Parallel", 14.428870
100000000, "Built-in", 15.295302
800000000, "Sequential", 101.876305
800000000, "Parallel", 115.969031
800000000, "Built-in", 149.906478
800000000, "Sequential", 101.306811
800000000, "Parallel", 116.183215
800000000, "Built-in", 148.784775
800000000, "Sequential", 101.576952
800000000, "Parallel", 119.385267
800000000, "Built-in", 148.787515
600000000, "Sequential", 74.588169
600000000, "Parallel", 87.996981
600000000, "Built-in", 100.445960
300000000, "Sequential", 35.909654
300000000, "Parallel", 43.985821
300000000, "Built-in", 48.532391
100000000, "Sequential", 11.611334
100000000, "Parallel", 14.430438
100000000, "Built-in", 15.244860
600000000, "Sequential", 74.583646
600000000, "Parallel", 86.181347
600000000, "Built-in", 100.493705
1000000000, "Sequential", 127.361064
1000000000, "Parallel", 146.349926
1000000000, "Built-in", 191.083799
1000000000, "Sequential", 127.271783
1000000000, "Parallel", 138.117470
1000000000, "Built-in", 188.533213
200000000, "Sequential", 23.866387
200000000, "Parallel", 29.004024
200000000, "Built-in", 31.705141
900000000, "Sequential", 113.652126
900000000, "Parallel", 120.471019
900000000, "Built-in", 167.103202
200000000, "Sequential", 24.068755
200000000, "Parallel", 29.456035
200000000, "Built-in", 31.768167
300000000, "Sequential", 36.346931
300000000, "Parallel", 44.555699
300000000, "Built-in", 48.557006
600000000, "Sequential", 75.323605
600000000, "Parallel", 88.919697
600000000, "Built-in", 100.969252
600000000, "Sequential", 74.374776
600000000, "Parallel", 84.834212
600000000, "Built-in", 101.299138
800000000, "Sequential", 101.353807
800000000, "Parallel", 112.001519
800000000, "Built-in", 147.907751
900000000, "Sequential", 113.321169
900000000, "Parallel", 135.643601
900000000, "Built-in", 167.480271
200000000, "Sequential", 23.887204
200000000, "Parallel", 28.746153
200000000, "Built-in", 31.816243
100000000, "Sequential", 11.538375
100000000, "Parallel", 14.188512
100000000, "Built-in", 15.264865
300000000, "Sequential", 36.560046
300000000, "Parallel", 43.116946
300000000, "Built-in", 48.801817
400000000, "Sequential", 49.356749
400000000, "Parallel", 58.283446
400000000, "Built-in", 65.951913
500000000, "Sequential", 61.409914
500000000, "Parallel", 69.200322
500000000, "Built-in", 82.763364
900000000, "Sequential", 113.701728
900000000, "Parallel", 124.661330
900000000, "Built-in", 166.358887
700000000, "Sequential", 87.545945
700000000, "Parallel", 104.693304
700000000, "Built-in", 118.804261
200000000, "Sequential", 23.690377
200000000, "Parallel", 28.868402
200000000, "Built-in", 31.660921
100000000, "Sequential", 11.457263
100000000, "Parallel", 15.053036
100000000, "Built-in", 15.312826
400000000, "Sequential", 49.016290
400000000, "Parallel", 58.794744
400000000, "Built-in", 65.858740
400000000, "Sequential", 48.786141
400000000, "Parallel", 55.183380
400000000, "Built-in", 65.347924
