Size, Type, Time
52500000, "Sequential", 5.692723
52500000, "Parallel", 7.214454
52500000, "Built-in", 7.790282
42500000, "Sequential", 4.572973
42500000, "Parallel", 6.220960
42500000, "Built-in", 6.306912
55000000, "Sequential", 6.060613
55000000, "Parallel", 7.407800
55000000, "Built-in", 8.678617
55000000, "Sequential", 6.086957
55000000, "Parallel", 8.200936
55000000, "Built-in", 8.483317
30000000, "Sequential", 3.251933
30000000, "Parallel", 4.296486
30000000, "Built-in", 4.358489
37500000, "Sequential", 4.037496
37500000, "Parallel", 5.386407
37500000, "Built-in", 5.591659
32500000, "Sequential", 3.500963
32500000, "Parallel", 4.954906
32500000, "Built-in", 4.703938
40000000, "Sequential", 4.313914
40000000, "Parallel", 5.847927
40000000, "Built-in", 5.814667
50000000, "Sequential", 5.416502
50000000, "Parallel", 6.871763
50000000, "Built-in", 7.379620
45000000, "Sequential", 4.868090
45000000, "Parallel", 6.505980
45000000, "Built-in", 6.596087
40000000, "Sequential", 4.282524
40000000, "Parallel", 5.909856
40000000, "Built-in", 5.806457
65000000, "Sequential", 7.140993
65000000, "Parallel", 9.389376
65000000, "Built-in", 10.139958
27500000, "Sequential", 2.865971
27500000, "Parallel", 4.041177
27500000, "Built-in", 3.874644
62500000, "Sequential", 6.720631
62500000, "Parallel", 8.494095
62500000, "Built-in", 9.858840
47500000, "Sequential", 5.294797
47500000, "Parallel", 7.208792
47500000, "Built-in", 7.097962
20000000, "Sequential", 2.066912
20000000, "Parallel", 2.899288
20000000, "Built-in", 2.813517
52500000, "Sequential", 5.836991
52500000, "Parallel", 7.469504
52500000, "Built-in", 8.277813
27500000, "Sequential", 2.987766
27500000, "Parallel", 3.986341
27500000, "Built-in", 4.400644
30000000, "Sequential", 3.188657
30000000, "Parallel", 4.316566
30000000, "Built-in", 4.364535
25000000, "Sequential", 2.606779
25000000, "Parallel", 3.540010
25000000, "Built-in", 3.588071
45000000, "Sequential", 4.953198
45000000, "Parallel", 6.822661
45000000, "Built-in", 6.806085
35000000, "Sequential", 3.763848
35000000, "Parallel", 5.018645
35000000, "Built-in", 5.168255
22500000, "Sequential", 2.390071
22500000, "Parallel", 3.232450
22500000, "Built-in", 3.204329
37500000, "Sequential", 3.997327
37500000, "Parallel", 5.563827
37500000, "Built-in", 5.443436
57500000, "Sequential", 6.323958
57500000, "Parallel", 8.424964
57500000, "Built-in", 8.712699
35000000, "Sequential", 3.755462
35000000, "Parallel", 4.883035
35000000, "Built-in", 5.001539
25000000, "Sequential", 2.609454
25000000, "Parallel", 3.753493
25000000, "Built-in", 3.511891
22500000, "Sequential", 2.327395
22500000, "Parallel", 3.221480
22500000, "Built-in", 3.141115
27500000, "Sequential", 2.873224
27500000, "Parallel", 4.019439
27500000, "Built-in", 4.010226
65000000, "Sequential", 7.237988
65000000, "Parallel", 9.202558
65000000, "Built-in", 10.090730
60000000, "Sequential", 6.664219
60000000, "Parallel", 8.871052
60000000, "Built-in", 9.017794
35000000, "Sequential", 3.717201
35000000, "Parallel", 5.166926
35000000, "Built-in", 5.039716
52500000, "Sequential", 5.671757
52500000, "Parallel", 7.773437
52500000, "Built-in", 7.789844
35000000, "Sequential", 3.759782
35000000, "Parallel", 5.141098
35000000, "Built-in", 5.090952
35000000, "Sequential", 3.724239
35000000, "Parallel", 5.241964
35000000, "Built-in", 5.091673
62500000, "Sequential", 6.959700
62500000, "Parallel", 9.260308
62500000, "Built-in", 9.559436
52500000, "Sequential", 5.835278
52500000, "Parallel", 7.366855
52500000, "Built-in", 7.990477
42500000, "Sequential", 4.652712
42500000, "Parallel", 5.822118
42500000, "Built-in", 6.260120
42500000, "Sequential", 4.667529
42500000, "Parallel", 6.342291
42500000, "Built-in", 6.283973
42500000, "Sequential", 4.570270
42500000, "Parallel", 5.911245
42500000, "Built-in", 6.225542
40000000, "Sequential", 4.302307
40000000, "Parallel", 5.887081
40000000, "Built-in", 5.827707
45000000, "Sequential", 4.861422
45000000, "Parallel", 6.361586
45000000, "Built-in", 6.613309
37500000, "Sequential", 4.032286
37500000, "Parallel", 5.390034
37500000, "Built-in", 5.449379
37500000, "Sequential", 3.990645
37500000, "Parallel", 5.407703
37500000, "Built-in", 5.446224
22500000, "Sequential", 2.375156
22500000, "Parallel", 3.423444
22500000, "Built-in", 3.179819
32500000, "Sequential", 3.491314
32500000, "Parallel", 4.729321
32500000, "Built-in", 4.714237
22500000, "Sequential", 2.361444
22500000, "Parallel", 3.072079
22500000, "Built-in", 3.210083
55000000, "Sequential", 5.952845
55000000, "Parallel", 7.967918
55000000, "Built-in", 8.246632
47500000, "Sequential", 5.155311
47500000, "Parallel", 6.628738
47500000, "Built-in", 7.000585
30000000, "Sequential", 3.194852
30000000, "Parallel", 4.358288
30000000, "Built-in", 4.316293
62500000, "Sequential", 6.798949
62500000, "Parallel", 9.217662
62500000, "Built-in", 9.541731
55000000, "Sequential", 5.952354
55000000, "Parallel", 7.845557
55000000, "Built-in", 8.229996
50000000, "Sequential", 5.403018
50000000, "Parallel", 7.511447
50000000, "Built-in", 7.360377
65000000, "Sequential", 7.173236
65000000, "Parallel", 8.631017
65000000, "Built-in", 9.956624
40000000, "Sequential", 4.245126
40000000, "Parallel", 6.002365
40000000, "Built-in", 5.772383
45000000, "Sequential", 4.779739
45000000, "Parallel", 6.725463
45000000, "Built-in", 6.560713
50000000, "Sequential", 5.492553
50000000, "Parallel", 7.286272
50000000, "Built-in", 7.470364
25000000, "Sequential", 2.648747
25000000, "Parallel", 3.287855
25000000, "Built-in", 3.552395
60000000, "Sequential", 6.675496
60000000, "Parallel", 8.603279
60000000, "Built-in", 9.185707
25000000, "Sequential", 2.646798
25000000, "Parallel", 3.809354
25000000, "Built-in", 3.549786
65000000, "Sequential", 7.249282
65000000, "Parallel", 8.938008
65000000, "Built-in", 9.988355
27500000, "Sequential", 2.883411
27500000, "Parallel", 4.186953
27500000, "Built-in", 3.950209
60000000, "Sequential", 6.538236
60000000, "Parallel", 8.770427
60000000, "Built-in", 9.118228
32500000, "Sequential", 3.416848
32500000, "Parallel", 4.894631
32500000, "Built-in", 4.659231
55000000, "Sequential", 6.036074
55000000, "Parallel", 7.986300
55000000, "Built-in", 8.272608
62500000, "Sequential", 6.895620
62500000, "Parallel", 9.434845
62500000, "Built-in", 9.568911
62500000, "Sequential", 6.926430
62500000, "Parallel", 8.868082
62500000, "Built-in", 9.527845
57500000, "Sequential", 6.262891
57500000, "Parallel", 8.145583
57500000, "Built-in", 8.680927
25000000, "Sequential", 2.601177
25000000, "Parallel", 3.553123
25000000, "Built-in", 3.491362
27500000, "Sequential", 2.870592
27500000, "Parallel", 4.132093
27500000, "Built-in", 3.897115
20000000, "Sequential", 2.068777
20000000, "Parallel", 2.972906
20000000, "Built-in", 2.778439
20000000, "Sequential", 2.058896
20000000, "Parallel", 3.025904
20000000, "Built-in", 2.794560
50000000, "Sequential", 5.426620
50000000, "Parallel", 7.320156
50000000, "Built-in", 7.403168
47500000, "Sequential", 5.114223
47500000, "Parallel", 6.353914
47500000, "Built-in", 7.187999
30000000, "Sequential", 3.200173
30000000, "Parallel", 4.423726
30000000, "Built-in", 4.341968
40000000, "Sequential", 4.534991
40000000, "Parallel", 6.011070
40000000, "Built-in", 6.127074
32500000, "Sequential", 3.459365
